INFO 2025-06-10 04:07:48,124 utils 25084 21580 USER_ACTION: {'timestamp': '2025-06-10T04:07:48.118331+00:00', 'user_id': 1, 'user_name': 'admin', 'role': 'Auditeur', 'action': 'consultation', 'feature': 'Dashboard', 'target': '', 'resource_id': '', 'old_value': '', 'new_value': '', 'status': 'success', 'ip': '127.0.0.1', 'user_agent': 'Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36'}
INFO 2025-06-10 04:07:50,518 utils 25084 21580 USER_ACTION: {'timestamp': '2025-06-10T04:07:50.512165+00:00', 'user_id': 1, 'user_name': 'admin', 'role': 'Auditeur', 'action': 'consultation', 'feature': 'Dashboard', 'target': '', 'resource_id': '', 'old_value': '', 'new_value': '', 'status': 'success', 'ip': '127.0.0.1', 'user_agent': 'Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36'}
INFO 2025-06-10 04:07:53,605 utils 25084 21580 USER_ACTION: {'timestamp': '2025-06-10T04:07:53.597160+00:00', 'user_id': 1, 'user_name': 'admin', 'role': 'Auditeur', 'action': 'consultation', 'feature': 'Dashboard', 'target': '', 'resource_id': '', 'old_value': '', 'new_value': '', 'status': 'success', 'ip': '127.0.0.1', 'user_agent': 'Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36'}
INFO 2025-06-10 04:27:00,630 utils 25084 9164 USER_ACTION: {'timestamp': '2025-06-10T04:27:00.626828+00:00', 'user_id': 1, 'user_name': 'admin', 'role': 'Auditeur', 'action': 'consultation', 'feature': 'Dashboard', 'target': '', 'resource_id': '', 'old_value': '', 'new_value': '', 'status': 'success', 'ip': '127.0.0.1', 'user_agent': 'Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36'}
INFO 2025-06-10 04:42:17,311 utils 7352 26672 USER_ACTION: {'timestamp': '2025-06-10T04:42:17.311969+00:00', 'user_id': 1, 'user_name': 'admin', 'role': 'Auditeur', 'action': 'consultation', 'feature': 'Dashboard', 'target': '', 'resource_id': '', 'old_value': '', 'new_value': '', 'status': 'success', 'ip': '127.0.0.1', 'user_agent': 'Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36'}
INFO 2025-06-10 04:44:41,819 utils 11632 30568 USER_ACTION: {'timestamp': '2025-06-10T04:44:41.814591+00:00', 'user_id': 1, 'user_name': 'admin', 'role': 'Auditeur', 'action': 'consultation', 'feature': 'Dashboard', 'target': '', 'resource_id': '', 'old_value': '', 'new_value': '', 'status': 'success', 'ip': '127.0.0.1', 'user_agent': 'Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36'}
INFO 2025-06-10 04:45:03,675 utils 4416 3164 USER_ACTION: {'timestamp': '2025-06-10T04:45:03.671299+00:00', 'user_id': 1, 'user_name': 'admin', 'role': 'Auditeur', 'action': 'consultation', 'feature': 'Dashboard', 'target': '', 'resource_id': '', 'old_value': '', 'new_value': '', 'status': 'success', 'ip': '127.0.0.1', 'user_agent': 'Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36'}
INFO 2025-06-10 04:46:39,404 utils 30756 5440 USER_ACTION: {'timestamp': '2025-06-10T04:46:39.394762+00:00', 'user_id': 1, 'user_name': 'admin', 'role': 'Auditeur', 'action': 'consultation', 'feature': 'Dashboard', 'target': '', 'resource_id': '', 'old_value': '', 'new_value': '', 'status': 'success', 'ip': '127.0.0.1', 'user_agent': 'Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36'}
INFO 2025-06-10 04:47:55,362 utils 30756 5440 USER_ACTION: {'timestamp': '2025-06-10T04:47:55.358985+00:00', 'user_id': 1, 'user_name': 'admin', 'role': 'Auditeur', 'action': 'consultation', 'feature': 'Dashboard', 'target': '', 'resource_id': '', 'old_value': '', 'new_value': '', 'status': 'success', 'ip': '127.0.0.1', 'user_agent': 'Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36'}
INFO 2025-06-10 04:48:01,698 utils 30756 5440 USER_ACTION: {'timestamp': '2025-06-10T04:48:01.690564+00:00', 'user_id': 1, 'user_name': 'admin', 'role': 'Auditeur', 'action': 'consultation', 'feature': 'Dashboard', 'target': '', 'resource_id': '', 'old_value': '', 'new_value': '', 'status': 'success', 'ip': '127.0.0.1', 'user_agent': 'Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36'}
